movie_id,title,genre,release_year,rating,revenue
1,A Future,Romance,1995,3.0,338673044.22
2,A Night,Action,1981,1.8,301407345.8
3,Rise of Night,Horror,2008,6.3,4242881.08
4,Return of Night,Sci-Fi,1997,2.4,168960678.01
5,A Night,Comedy,2002,8.6,403757008.36
6,Legend of Love,Thriller,1985,6.0,309641356.43
7,Journey to Dreams,Comedy,1982,7.0,492625538.81
8,Rise of Love,Thriller,1997,5.1,82164394.48
9,Journey to Dreams,Romance,2024,9.4,304956371.83
10,Return of Dreams,Drama,2009,4.4,320359880.17
11,Rise of Secrets,Action,1994,8.4,201181228.72
12,A Dreams,Sci-Fi,1993,6.9,457359247.28
13,Legend of Warrior,Romance,1988,3.2,132108062.65
14,Escape from Night,Sci-Fi,1994,10.0,247264401.61
15,The Love,Drama,2020,2.4,298608106.34
16,Escape from Night,Animation,2013,3.3,471272999.83
17,A Galaxy,Sci-Fi,1987,3.6,2619412.73
18,Battle for Warrior,Comedy,2020,3.7,304876135.51
19,Return of Secrets,Drama,2014,9.6,459328253.7
20,Journey to Destiny,Action,1987,9.4,416001099.15
21,Battle for Dreams,Action,1995,8.9,43741072.58
22,Legend of Love,Drama,1988,6.9,83398352.53
23,Escape from Dreams,Horror,2025,3.8,325289150.76
24,Legend of Destiny,Comedy,1995,3.0,294566050.51
25,Rise of Dreams,Action,1984,7.4,34632763.73
26,The Secrets,Comedy,2012,3.1,107904166.88
27,Return of Destiny,Horror,2010,8.3,49368476.3
28,Escape from Secrets,Thriller,2006,5.2,337008909.1
29,A Future,Thriller,2001,8.2,96603446.0
30,Legend of Warrior,Thriller,1991,3.5,461709534.04
31,Legend of Love,Action,2021,10.0,484529132.39
32,Rise of Warrior,Thriller,2011,5.3,451318989.89
33,Return of Night,Action,2004,3.4,228049175.3
34,Escape from Destiny,Drama,1992,3.7,290010965.12
35,The Secrets,Action,1983,6.3,426507226.13
36,Return of Future,Comedy,1991,1.6,431047781.78
37,Escape from Love,Horror,2017,6.4,210193232.75
38,Journey to Galaxy,Horror,2022,7.4,198497137.55
39,Battle for Destiny,Sci-Fi,1984,1.1,281933829.17
40,A Love,Horror,2012,3.4,440551222.67
41,Rise of Secrets,Romance,1990,4.9,151956054.35
42,The Galaxy,Comedy,1988,3.4,371465925.31
43,Return of Galaxy,Romance,2018,2.9,344061067.27
44,Battle for Destiny,Romance,1983,1.8,139063431.76
45,The Secrets,Drama,2020,9.8,221475920.42
46,Escape from Future,Comedy,1984,9.5,75378088.45
47,The Secrets,Drama,2007,2.1,449591762.88
48,The Secrets,Horror,2023,3.2,390278004.69
